IGUI_Bandits_Bandits_Killed = "Bandits Killed",
IGUI_Bandits_Speech_ZSBreach_Female_1_1 = "Knock! Knock! Motherf**ker",
IGUI_Bandits_Speech_ZSBreach_Female_1_2 = "I am coming in whether you like ir or not! Punk!",
IGUI_Bandits_Speech_ZSBreach_Female_1_3 = "Open this fucking door!",
IGUI_Bandits_Speech_ZSBreach_Female_1_4 = "I am going in!",
IGUI_Bandits_Speech_ZSBreach_Female_1_5 = "You'd better get ready 'coz I'm comming in!",
IGUI_Bandits_Speech_ZSBreach_Female_1_6 = "I'll bust that door now!",
IGUI_Bandits_Speech_ZSBreach_Female_2_1 = "Break it down!",
IGUI_Bandits_Speech_ZSBreach_Female_2_2 = "Open it up!",
IGUI_Bandits_Speech_ZSBreach_Female_2_3 = "We're comming in!",
IGUI_Bandits_Speech_ZSBreach_Female_2_4 = "We need to get through!",
IGUI_Bandits_Speech_ZSBreach_Female_2_5 = "Get that thing open!",
IGUI_Bandits_Speech_ZSBreach_Female_2_6 = "Destroy that shit!",
IGUI_Bandits_Speech_ZSBreach_Female_3_1 = "Wreck it!",
IGUI_Bandits_Speech_ZSBreach_Female_3_2 = "Destroy that!",
IGUI_Bandits_Speech_ZSBreach_Female_3_3 = "Open the door!",
IGUI_Bandits_Speech_ZSBreach_Female_3_4 = "We need to destroy it.",
IGUI_Bandits_Speech_ZSBreach_Female_3_5 = "Breach the door now!",
IGUI_Bandits_Speech_ZSBreach_Female_3_6 = "I'm breaching in!",
IGUI_Bandits_Speech_ZSBreach_Female_4_1 = "Breach in!",
IGUI_Bandits_Speech_ZSBreach_Female_4_2 = "Break it!",
IGUI_Bandits_Speech_ZSBreach_Female_4_3 = "Break that thing!",
IGUI_Bandits_Speech_ZSBreach_Female_4_4 = "Destroy that thing!",
IGUI_Bandits_Speech_ZSBreach_Female_4_5 = "Destroy that now!",
IGUI_Bandits_Speech_ZSBreach_Female_4_6 = "Breach the door!",
IGUI_Bandits_Speech_ZSBreach_Male_1_1 = "Open that door!",
IGUI_Bandits_Speech_ZSBreach_Male_1_2 = "Breach that door!",
IGUI_Bandits_Speech_ZSBreach_Male_1_3 = "Open it!",
IGUI_Bandits_Speech_ZSBreach_Male_1_4 = "Let's break in!",
IGUI_Bandits_Speech_ZSBreach_Male_1_5 = "Knock! Knock!",
IGUI_Bandits_Speech_ZSBreach_Male_1_6 = "Get through that door!",
IGUI_Bandits_Speech_ZSBreach_Male_2_1 = "We're coming in now punk!",
IGUI_Bandits_Speech_ZSBreach_Male_2_2 = "Here we come!",
IGUI_Bandits_Speech_ZSBreach_Male_2_3 = "I will get you! I promise!",
IGUI_Bandits_Speech_ZSBreach_Male_2_4 = "Let's go and trash this dump!",
IGUI_Bandits_Speech_ZSBreach_Male_2_5 = "Open that sucker!",
IGUI_Bandits_Speech_ZSBreach_Male_2_6 = "Open this door now!",
IGUI_Bandits_Speech_ZSBreach_Male_3_1 = "Breach that door!",
IGUI_Bandits_Speech_ZSBreach_Male_3_2 = "Get through that door!",
IGUI_Bandits_Speech_ZSBreach_Male_3_3 = "Knock! Knock!",
IGUI_Bandits_Speech_ZSBreach_Male_3_4 = "Let's break in!",
IGUI_Bandits_Speech_ZSBreach_Male_3_5 = "Open it!",
IGUI_Bandits_Speech_ZSBreach_Male_3_6 = "Open that door!",
IGUI_Bandits_Speech_ZSBreach_Male_4_1 = "Open it!",
IGUI_Bandits_Speech_ZSBreach_Male_4_2 = "Get it open!",
IGUI_Bandits_Speech_ZSBreach_Male_4_3 = "Open it up!",
IGUI_Bandits_Speech_ZSBreach_Male_4_4 = "Get inside!",
IGUI_Bandits_Speech_ZSBreach_Male_4_5 = "Gotta get in!",
IGUI_Bandits_Speech_ZSBreach_Male_4_6 = "Get it open!",
IGUI_Bandits_Speech_ZSBurn_Female_1_1 = "",
IGUI_Bandits_Speech_ZSBurn_Female_1_2 = "",
IGUI_Bandits_Speech_ZSBurn_Female_1_3 = "",
IGUI_Bandits_Speech_ZSBurn_Female_2_1 = "",
IGUI_Bandits_Speech_ZSBurn_Female_2_2 = "",
IGUI_Bandits_Speech_ZSBurn_Female_2_3 = "",
IGUI_Bandits_Speech_ZSBurn_Female_3_1 = "",
IGUI_Bandits_Speech_ZSBurn_Female_3_2 = "",
IGUI_Bandits_Speech_ZSBurn_Female_3_3 = "",
IGUI_Bandits_Speech_ZSBurn_Female_4_1 = "",
IGUI_Bandits_Speech_ZSBurn_Female_4_2 = "",
IGUI_Bandits_Speech_ZSBurn_Female_4_3 = "",
IGUI_Bandits_Speech_ZSBurn_Male_1_1 = "Aaargh! Put me out! Put me out! Put me out!",
IGUI_Bandits_Speech_ZSBurn_Male_1_2 = "Aaargh! Put me out! Put me out! Put me out!",
IGUI_Bandits_Speech_ZSBurn_Male_1_3 = "Aaargh! Put me out! Put me out! Put me out!",
IGUI_Bandits_Speech_ZSBurn_Male_2_1 = "Aaargh! Put me out! Put me out! Put me out!",
IGUI_Bandits_Speech_ZSBurn_Male_2_2 = "Aaargh! Put me out! Put me out! Put me out!",
IGUI_Bandits_Speech_ZSBurn_Male_2_3 = "Aaargh! Put me out! Put me out! Put me out!",
IGUI_Bandits_Speech_ZSBurn_Male_3_1 = "Aaargh! Put me out! Put me out! Put me out!",
IGUI_Bandits_Speech_ZSBurn_Male_3_2 = "Aaargh! Put me out! Put me out! Put me out!",
IGUI_Bandits_Speech_ZSBurn_Male_3_3 = "Aaargh! Put me out! Put me out! Put me out!",
IGUI_Bandits_Speech_ZSBurn_Male_4_1 = "Aaargh! Put me out! Put me out! Put me out!",
IGUI_Bandits_Speech_ZSBurn_Male_4_2 = "Aaargh! Put me out! Put me out! Put me out!",
IGUI_Bandits_Speech_ZSBurn_Male_4_3 = "Aaargh! Put me out! Put me out! Put me out!",
IGUI_Bandits_Speech_ZSCar_Female_1_1 = "Where're you going? Jackass!",
IGUI_Bandits_Speech_ZSCar_Female_1_2 = "Stop that car! Now!",
